"c5r2mtsc","c5r2mtsc_std","p5hmage","w3momed_hsb","w3income","catholic"
60.043,0.981753324784374,47,0,62.5005,0
56.28,0.594377509394192,41,0,45.0005,0
55.272,0.490610615449652,43,0,62.5005,0
64.604,1.45127793121398,38,0,87.5005,1
75.721,2.59569912167177,47,0,150.0005,0
56.868,0.654908197528507,30,0,7.5005,0
54.248,0.385196627950437,41,0,62.5005,0
45.572,-0.507939852072208,38,1,7.5005,0
50.804,0.0306597403065932,28,1,17.5005,0
40.064,-1.07495180826916,31,1,32.5005,0
46.097,-0.453894594809428,38,0,37.5005,0
53.336,0.291312295333949,26,1,45.0005,0
57.767,0.747454266631822,38,0,62.5005,0
57.237,0.692894292633205,27,1,62.5005,0
45.384,-0.527293201339643,40,1,62.5005,0
47.284,-0.331700841721959,27,1,12.5005,0
50.257,-0.0256502705938668,33,0,17.5005,0
44.564,-0.611706746016749,36,1,17.5005,0
40.922,-0.986626416399699,46,0,12.5005,0
56.236,0.589848002118835,42,1,22.5005,0
41.063,-0.972111404449123,42,0,12.5005,0
54.404,0.401255790108521,39,0,87.5005,0
70.107,2.0177751706751,37,0,62.5005,0
57.567,0.726865597198381,37,0,45.0005,0
47.199,-0.340451026231171,28,1,27.5005,0
65.741,1.56832451694309,34,1,37.5005,0
64.935,1.48535217912633,41,0,150.0005,1
45.63,-0.501969137936511,35,0,87.5005,1
48.521,-0.20435992127613,41,0,150.0005,1
41.637,-0.913021923175149,37,1,150.0005,1
67.783,1.77853483185852,42,0,87.5005,1
53.501,0.308297947616537,27,1,62.5005,1
61.241,1.10507945469068,41,0,150.0005,1
57.185,0.68754123858051,40,0,150.0005,1
64.364,1.42657152789385,35,0,62.5005,1
59.207,0.895692686552593,38,0,62.5005,1
60.025,0.979900344535364,34,0,62.5005,1
44.731,-0.594515207039826,37,0,87.5005,0
49.884,-0.064048139087233,38,1,17.5005,0
34.44,-1.6539051927375,31,1,17.5005,0
42.962,-0.776621988178606,36,1,62.5005,0
52.571,0.212560634751039,31,1,32.5005,0
55.383,0.502037326985212,35,1,87.5005,0
60.096,0.987209322184235,35,0,150.0005,0
48.597,-0.196536226891422,34,1,87.5005,0
35.802,-1.51369635389577,43,1,45.0005,0
27.545,-2.36369957145536,47,0,32.5005,0
33.829,-1.71680357785666,30,1,32.5005,0
66.911,1.68876823312872,38,0,62.5005,0
56.95,0.663349551996218,34,1,62.5005,0
43.744,-0.696120290693854,37,0,87.5005,0
39.482,-1.13486483632047,34,1,45.0005,0
54.888,0.451080370137446,35,0,12.5005,0
45.098,-0.556734998629463,37,1,27.5005,0
45.357,-0.530072671713157,33,1,32.5005,0
