"record","attendance","team","year","w","l","games"
"39-43",654962,"NYK",1991,39,43,82
"51-31",726608,"NYK",1992,51,31,82
"60-22",804840,"NYK",1993,60,22,82
"57-25",810193,"NYK",1994,57,25,82
"55-27",810283,"NYK",1995,55,27,82
"47-35",810283,"NYK",1996,47,35,82
"57-25",790520,"NYK",1997,57,25,82
"43-39",810283,"NYK",1998,43,39,82
"27-23",494075,"NYK",1999,27,23,50
"50-32",810103,"NYK",2000,50,32,82
"48-34",810283,"NYK",2001,48,34,82
"30-52",810283,"NYK",2002,30,52,82
"37-45",779479,"NYK",2003,37,45,82
"39-43",785739,"NYK",2004,39,43,82
"33-49",800144,"NYK",2005,33,49,82
"23-59",776176,"NYK",2006,23,59,82
"33-49",770617,"NYK",2007,33,49,82
"23-59",783739,"NYK",2008,23,59,82
"32-50",790801,"NYK",2009,32,50,82
"29-53",799550,"NYK",2010,29,53,82
"42-40",808879,"NYK",2011,42,40,82
"36-30",652179,"NYK",2012,36,30,66
"54-28",780353,"NYK",2013,54,28,82
"37-45",812292,"NYK",2014,37,45,82
"17-65",812292,"NYK",2015,17,65,82
"32-50",812292,"NYK",2016,32,50,82
"31-51",810741,"NYK",2017,31,51,82
"29-53",792608,"NYK",2018,29,53,82
"17-65",779087,"NYK",2019,17,65,82
"21-45",620789,"NYK",2020,21,45,66
"56-26",611537,"BOS",1991,56,26,82
"51-31",610776,"BOS",1992,51,31,82
"48-34",608495,"BOS",1993,48,34,82
"32-50",604867,"BOS",1994,32,50,82
"35-47",606070,"BOS",1995,35,47,82
"33-49",730842,"BOS",1996,33,49,82
"15-67",664022,"BOS",1997,15,67,82
"36-46",739422,"BOS",1998,36,46,82
"19-31",440602,"BOS",1999,19,31,50
"35-47",683608,"BOS",2000,35,47,82
"36-46",629201,"BOS",2001,36,46,82
"49-33",659751,"BOS",2002,49,33,82
"44-38",709049,"BOS",2003,44,38,82
"36-46",664248,"BOS",2004,36,46,82
"45-37",656081,"BOS",2005,45,37,82
"33-49",692873,"BOS",2006,33,49,82
"24-58",690576,"BOS",2007,24,58,82
"66-16",763584,"BOS",2008,66,16,82
"62-20",763584,"BOS",2009,62,20,82
"50-32",763584,"BOS",2010,50,32,82
"56-26",763584,"BOS",2011,56,26,82
"39-27",614592,"BOS",2012,39,27,66
"41-40",744960,"BOS",2013,41,40,81
"25-57",742400,"BOS",2014,25,57,82
"40-42",721350,"BOS",2015,40,42,82
"48-34",749076,"BOS",2016,48,34,82
"53-29",760690,"BOS",2017,53,29,82
"55-27",763584,"BOS",2018,55,27,82
"49-33",763584,"BOS",2019,49,33,82
"48-24",610864,"BOS",2020,48,24,72
"43-39",529161,"ATL",1991,43,39,82
"38-44",511803,"ATL",1992,38,44,82
"43-39",491229,"ATL",1993,43,39,82
"57-25",537547,"ATL",1994,57,25,82
"42-40",504807,"ATL",1995,42,40,82
"46-36",496668,"ATL",1996,46,36,82
"56-26",549414,"ATL",1997,56,26,82
"50-32",610615,"ATL",1998,50,32,82
"31-19",331831,"ATL",1999,31,19,50
"28-54",600954,"ATL",2000,28,54,82
"25-57",560330,"ATL",2001,25,57,82
"33-49",506110,"ATL",2002,33,49,82
"35-47",528655,"ATL",2003,35,47,82
"28-54",565728,"ATL",2004,28,54,82
"13-69",586390,"ATL",2005,13,69,82
"26-56",617817,"ATL",2006,26,56,82
"30-52",639375,"ATL",2007,30,52,82
"37-45",667518,"ATL",2008,37,45,82
"47-35",686688,"ATL",2009,47,35,82
"53-29",678375,"ATL",2010,53,29,82
"44-38",641596,"ATL",2011,44,38,82
"40-26",501593,"ATL",2012,40,26,66
"44-38",620146,"ATL",2013,44,38,82
"38-44",587927,"ATL",2014,38,44,82
"60-22",713909,"ATL",2015,60,22,82
"48-34",690150,"ATL",2016,48,34,82
"43-39",654306,"ATL",2017,43,39,82
"24-58",590769,"ATL",2018,24,58,82
"29-53",628440,"ATL",2019,29,53,82
"20-47",545453,"ATL",2020,20,47,67
"55-27",651965,"SAS",1991,55,27,82
"47-35",658337,"SAS",1992,47,35,82
"49-33",658337,"SAS",1993,49,33,82
"55-27",904190,"SAS",1994,55,27,82
"62-20",920413,"SAS",1995,62,20,82
"59-23",782701,"SAS",1996,59,23,82
"20-62",706641,"SAS",1997,20,62,82
"56-26",783455,"SAS",1998,56,26,82
"37-13",527357,"SAS",1999,37,13,50
"53-29",884450,"SAS",2000,53,29,82
"58-24",913176,"SAS",2001,58,24,82
"58-24",906390,"SAS",2002,58,24,82
"60-22",735970,"SAS",2003,60,22,82
"57-25",739706,"SAS",2004,57,25,82
"59-23",750970,"SAS",2005,59,23,82
"63-19",770677,"SAS",2006,63,19,82
"58-24",764823,"SAS",2007,58,24,82
"56-26",761149,"SAS",2008,56,26,82
"54-28",749048,"SAS",2009,54,28,82
"50-32",741676,"SAS",2010,50,32,82
"61-21",750879,"SAS",2011,61,21,82
"50-16",607095,"SAS",2012,50,16,66
"58-24",755700,"SAS",2013,58,24,82
"62-20",755031,"SAS",2014,62,20,82
"55-27",762855,"SAS",2015,55,27,82
"67-15",756445,"SAS",2016,67,15,82
"61-21",755347,"SAS",2017,61,21,82
"47-35",754562,"SAS",2018,47,35,82
"48-34",750616,"SAS",2019,48,34,82
"32-39",550515,"SAS",2020,32,39,71
"44-38",616025,"GSW",1991,44,38,82
"55-27",616025,"GSW",1992,55,27,82
"34-48",616025,"GSW",1993,34,48,82
"50-32",616025,"GSW",1994,50,32,82
"26-56",616025,"GSW",1995,26,56,82
"36-46",616025,"GSW",1996,36,46,82
"30-52",621844,"GSW",1997,30,52,82
"19-63",444922,"GSW",1998,19,63,82
"21-29",335837,"GSW",1999,21,29,50
"19-63",509171,"GSW",2000,19,63,82
"17-65",591981,"GSW",2001,17,65,82
"21-61",593182,"GSW",2002,21,61,82
"38-44",634935,"GSW",2003,38,44,82
"37-45",665648,"GSW",2004,37,45,82
"34-48",670368,"GSW",2005,34,48,82
"34-48",749185,"GSW",2006,34,48,82
"42-40",742267,"GSW",2007,42,40,82
"48-34",804864,"GSW",2008,48,34,82
"29-53",776660,"GSW",2009,29,53,82
"26-56",739120,"GSW",2010,26,56,82
"36-46",766398,"GSW",2011,36,46,82
"23-43",622311,"GSW",2012,23,43,66
"47-35",794320,"GSW",2013,47,35,82
"51-31",803436,"GSW",2014,51,31,82
"67-15",803436,"GSW",2015,67,15,82
"73-9",803436,"GSW",2016,73,9,82
"67-15",803436,"GSW",2017,67,15,82
"58-24",803436,"GSW",2018,58,24,82
"57-25",803436,"GSW",2019,57,25,82
"15-50",614176,"GSW",2020,15,50,65
"41-41",465650,"IND",1991,41,41,82
"40-42",517352,"IND",1992,40,42,82
"41-41",530891,"IND",1993,41,41,82
"47-35",531812,"IND",1994,47,35,82
"52-30",654428,"IND",1995,52,30,82
"52-30",673967,"IND",1996,52,30,82
"39-43",636735,"IND",1997,39,43,82
"58-24",645302,"IND",1998,58,24,82
"33-17",404536,"IND",1999,33,17,50
"56-26",752145,"IND",2000,56,26,82
"41-41",731800,"IND",2001,41,41,82
"42-40",686537,"IND",2002,42,40,82
"48-34",670461,"IND",2003,48,34,82
"61-21",678326,"IND",2004,61,21,82
"44-38",696764,"IND",2005,44,38,82
"41-41",663368,"IND",2006,41,41,82
"35-47",629750,"IND",2007,35,47,82
"36-46",501092,"IND",2008,36,46,82
"36-46",581472,"IND",2009,36,46,82
"32-50",582295,"IND",2010,32,50,82
"37-45",555077,"IND",2011,37,45,82
"42-24",467561,"IND",2012,42,24,66
"49-32",626069,"IND",2013,49,32,81
"56-26",717542,"IND",2014,56,26,82
"38-44",691434,"IND",2015,38,44,82
"45-37",690733,"IND",2016,45,37,82
"42-40",684578,"IND",2017,42,40,82
"48-34",658119,"IND",2018,48,34,82
"48-34",689310,"IND",2019,48,34,82
"45-28",529002,"IND",2020,45,28,73
"48-34",673687,"MIL",1991,48,34,82
"31-51",635515,"MIL",1992,31,51,82
"28-54",660939,"MIL",1993,28,54,82
"20-62",634047,"MIL",1994,20,62,82
