brianpid,season,position,age,team,unitid,college,franname,wt,ht,birthdate,drafted_team,draft_round,draft_pkoverall,nfldraftyear,suppdraft,undrafted,nfldraft,birthday,transfercollege,drafted_fran,major_award,all_american,combineonly,combinepart,race,divfbs,bcsschool,birthcity,birthstate,captain,g,gs,av,law,lgeaction,tmaction,alcohol,drugs,driving,harm_othr,domestic,weapon,othr_crm,chrg_drop,guilty,acquit,probn,jail,susp_s,fine,other_punish,plea,divprog,team_suspend,team_boot,team_fine,nfl_suspend,nfl_boot,nfl_fine,nfl_counsel,intincident,finalsusp,indefinite,finalfinegame,finalfineextra,cutfromteam,otherdocking,lgepunished,teampunished,directtolge,directtoteam,directtoplayer,directtofans,directtoref,directtocoach,directtomedia,directtosociety,perscond,subabuse,pedpolicy,cdtt,cdtl,fieldfight,fieldhit,fieldnonv,fieldunsport,uniformequp,leaguerules,undisclosed,contract,fieldmis,oncond,playerappealed,appealsuccess,yrs,nflexp,probowl,apcomepoy,apdefpoy,apdefroy,apmvp,apoffpoy,apoffroy,bertbell,pfwacomepoy,pfwamvp,sbmvp,wpmoy,seasontotalaward,cpi_urban,deflator,real_basesal,real_signbonus,real_totbon,real_totsal,real_capvalue,fips,winpct,fbplay,sbchamp,msa_pop,real_msainc,oid,owner,owner_fnd,single,partner,corp,sportent,govt,lgecontrol,familyowned,gen2,gen3,winpctlag1
AaitIs00,2011,DT,,,182281,UNLV,Miami Dolphins,,,1/25/1987,,,,2011,,,0,,,,,,,,3,1,0,Pago Pago,American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,224.939,.91766888,105593.64,0,0,105593.64,105593.64,33100,.375,0,0,5670125,266134945792,RossSt0,Stephen Ross,2008,1,0,0,0,0,0,0,0,0,.43799999
AbbrJa00,2014,WR,,Green Bay Packers,240444,Wisconsin,Green Bay Packers,,,12/17/1990,Green Bay Packers,5,176,2014,,,1,,,,0,0,0,1,1,1,1,West Allis,WI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,236.73599,.96579629,313730.75,37419.898,0,201471.06,351150.66,24580,.75,1,0,314498,14491267072,packers-inc-100,Green Bay Packers Inc,1923,0,0,0,0,1,0,0,0,0,.53100002
AbdeMe00,2016,DE,25,Tennessee Titans,164924,Boston College,Tennessee Titans,284,6-6,9/28/1991,,,,2016,0,1,0,28sep1991,,,,,1,1,4,1,1,Montreal,QC,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,240.007,.97914082,179759.64,0,0,179759.64,179759.64,34980,.56300002,0,0,1865298,99919609856,StruAm0,Amy Adams Strunk,2014,1,0,0,0,0,0,0,1,0,.18799999
AbduAm00,2015,RB,22,Detroit Lions,181464,Nebraska,Detroit Lions,198,5-8,6/13/1993,Detroit Lions,2,54,2015,0,0,1,13jun1993,,Detroit Lions,,,0,1,2,1,1,Mobile,AL,0,16,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,237.017,.96694273,449871.53,331621.5,0,-1138529.6,781493,19820,.43799999,0,0,4302043,208638492672,FordMa0,Martha Firestone Ford,2014,1,0,0,0,0,0,0,0,0,.68800002
AbduHa20,2005,FS,22,Denver Broncos,236939,Washington State,Denver Broncos,213,6-2,8/20/1983,Tampa Bay Buccaneers,7,231,2005,0,0,1,20aug1983,,Tampa Bay Buccaneers,0,0,0,1,2,1,1,Los Angeles,CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,195.3,.79675263,0,0,0,0,0,19740,.81300002,1,0,2332749,127753986048,BowlPa0,Pat Bowlen,1984,1,0,0,0,0,0,0,0,0,.625
AbduHu99,2008,S,23,Minnesota Vikings,236939,Washington State,Minnesota Vikings,204,6-0,7/27/1985,,,,2008,0,1,0,27jul1985,,,,,1,1,2,1,1,Los Angeles,CA,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,215.30299,.87835753,0,0,0,0,0,33460,.625,1,0,3231982,177379590144,WilfZy0,Zygi Wilf,2005,1,0,0,0,0,0,0,0,0,.5
AbduIs00,2011,fs,22,New Orleans Saints,191241,Fordham,New Orleans Saints,200,6-1,8/3/1989,,,,2011,0,1,0,03aug1989,,,,,,,2,0,0,Newark,NJ,0,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,224.939,.91766888,408644.13,1816.5593,0,410460.69,410460.69,35380,.81300002,1,0,1191089,56594264064,BensTo0,Tom Benson,1985,1,0,0,0,0,0,0,0,0,.68800002
AbduKh20,2003,LB,24,Cincinnati Bengals,198899,Mars Hill,Cincinnati Bengals,227,6-2,3/6/1979,Cincinnati Bengals,5,136,2003,0,0,1,06mar1979,,Cincinnati Bengals,0,0,0,1,2,0,0,Jacksonville,FL,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,184,.75065273,0,0,0,0,0,17140,.5,0,0,2046936,91700150272,BrowMi0,Mike Brown,1991,1,0,0,0,0,0,0,1,0,.125
AbduRa00,1998,RB,,,213543,Lehigh,Tampa Bay Buccaneers,,,4/27/1975,,,,1998,,,0,,,,,,,,2,0,0,Martinsville,VA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,163,.66498041,0,0,0,0,0,45300,.5,0,0,2336822,92723650560,GlazMa0,Malcolm Glazer,1995,1,0,0,0,0,0,0,0,0,.625
AbduRa20,1999,LB,23,Cleveland Browns II,217882,Clemson,Cleveland Browns,233,6-5,3/22/1976,Cleveland Browns II,2,45,1999,0,0,1,22mar1976,,Cleveland Browns,0,0,0,,2,1,1,Jacksonville,FL,0,16,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,166.60001,.67966712,0,0,0,0,0,17460,.125,0,0,2149943,96686161920,LernAl0,Al Lerner,1999,1,0,0,0,0,0,0,0,0,
